freq,psd_x,psd_y,psd_z,psd_xyz
163.2,8.133e+03,4.835e+04,5.256e+04,1.090e+05
164.7,8.886e+03,5.058e+04,5.439e+04,1.139e+05
166.3,9.344e+03,5.116e+04,5.350e+04,1.140e+05
167.8,1.055e+04,5.005e+04,5.319e+04,1.138e+05
169.4,1.332e+04,4.803e+04,5.726e+04,1.186e+05
170.9,1.795e+04,4.606e+04,6.673e+04,1.307e+05
172.5,2.440e+04,4.182e+04,7.962e+04,1.458e+05
174.0,3.018e+04,3.578e+04,9.214e+04,1.581e+05
175.6,3.423e+04,2.991e+04,1.027e+05,1.668e+05
177.1,4.126e+04,2.799e+04,1.253e+05,1.946e+05
178.7,4.041e+04,2.165e+04,1.247e+05,1.867e+05
180.3,4.074e+04,1.559e+04,1.288e+05,1.851e+05
181.8,3.983e+04,1.160e+04,1.299e+05,1.813e+05
183.4,3.643e+04,9.167e+03,1.204e+05,1.660e+05
184.9,3.290e+04,7.450e+03,1.106e+05,1.510e+05
186.5,2.891e+04,6.612e+03,1.030e+05,1.385e+05
188.0,2.692e+04,6.305e+03,9.928e+04,1.325e+05
189.6,2.507e+04,5.766e+03,9.436e+04,1.252e+05
191.1,2.207e+04,4.817e+03,8.484e+04,1.117e+05
192.7,2.013e+04,4.201e+03,7.939e+04,1.037e+05
194.2,1.867e+04,3.742e+03,7.537e+04,9.779e+04
195.8,1.633e+04,3.084e+03,6.838e+04,8.779e+04
197.3,1.561e+04,3.073e+03,6.682e+04,8.551e+04
198.9,1.386e+04,2.899e+03,6.175e+04,7.851e+04
